Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-11-24,15:35:00,6.99,6.99,6.92,6.95,5971,0
2015-11-24,15:40:00,6.99,7.1,6.99,7.055,3000,0
2015-11-24,15:45:00,7.02,7.0699,6.96,6.97,4900,0
2015-11-24,15:50:00,6.9875,7.01,6.94,6.95,1300,0
2015-11-24,15:55:00,6.96,6.96,6.95,6.95,1000,0
2015-11-24,16:00:00,7,7,6.97,6.97,300,0
2015-11-24,16:05:00,6.94,6.96,6.94,6.96,2100,0
2015-11-24,16:10:00,6.9501,7.01,6.9501,7.01,4100,0
2015-11-24,16:20:00,7,7,7,7,100,0
2015-11-24,16:25:00,7,7.01,6.97,6.97,1590,0
2015-11-24,16:30:00,6.95,6.95,6.94,6.94,1200,0
2015-11-24,16:35:00,6.93,6.95,6.91,6.94,10294,0
2015-11-24,16:40:00,6.93,6.93,6.92,6.92,1497,0
2015-11-24,16:45:00,6.928,6.928,6.92,6.92,403,0
2015-11-24,16:50:00,6.93,6.93,6.9,6.9,800,0
2015-11-24,16:55:00,6.91,6.948,6.905,6.948,5794,0
2015-11-24,17:00:00,6.935,6.935,6.935,6.935,100,0
2015-11-24,17:05:00,6.95,6.95,6.95,6.95,100,0
2015-11-24,17:15:00,6.92,6.95,6.92,6.95,600,0
2015-11-24,17:20:00,6.94,6.95,6.92,6.94,900,0
2015-11-24,17:25:00,6.92,6.92,6.9,6.9,3428,0
2015-11-24,17:30:00,6.91,6.92,6.9,6.905,700,0
2015-11-24,17:35:00,6.91,6.91,6.9,6.9099,2300,0
2015-11-24,17:40:00,6.91,6.91,6.9,6.905,3650,0
2015-11-24,17:45:00,6.91,6.91,6.9001,6.91,3500,0
2015-11-24,17:50:00,6.9,6.91,6.9,6.9,3000,0
2015-11-24,17:55:00,6.9,6.92,6.9,6.915,3500,0
2015-11-24,18:00:00,6.92,6.95,6.91,6.95,5900,0
2015-11-24,18:05:00,6.96,6.98,6.96,6.96,4600,0
2015-11-24,18:10:00,6.9501,6.96,6.945,6.95,2525,0
2015-11-24,18:15:00,6.9499,6.9499,6.9499,6.9499,100,0
2015-11-24,18:20:00,6.9401,6.95,6.9401,6.945,600,0
2015-11-24,18:25:00,6.945,6.946,6.925,6.925,2700,0
2015-11-24,18:30:00,6.925,6.95,6.925,6.95,3200,0
2015-11-24,18:35:00,6.9799,6.98,6.95,6.95,1000,0
2015-11-24,18:50:00,6.945,6.95,6.925,6.93,7700,0
2015-11-24,18:55:00,6.9299,6.95,6.9231,6.94,4250,0
2015-11-24,19:00:00,6.935,6.935,6.925,6.925,300,0
2015-11-24,19:05:00,6.93,6.93,6.93,6.93,100,0
2015-11-24,19:10:00,6.93,6.98,6.925,6.965,9800,0
2015-11-24,19:15:00,6.965,6.97,6.95,6.95,3600,0
2015-11-24,19:20:00,6.95,6.95,6.95,6.95,200,0
2015-11-24,19:25:00,6.96,6.9901,6.95,6.99,6550,0
2015-11-24,19:30:00,6.98,6.98,6.97,6.97,200,0
2015-11-24,19:35:00,6.97,6.98,6.965,6.965,400,0
2015-11-24,19:40:00,6.98,6.98,6.96,6.96,200,0
2015-11-24,19:45:00,6.96,6.97,6.96,6.97,6345,0
2015-11-24,19:50:00,6.97,6.97,6.97,6.97,100,0
2015-11-24,19:55:00,6.965,6.97,6.95,6.9501,1757,0
2015-11-24,20:00:00,6.9501,6.956,6.9301,6.935,6300,0
2015-11-24,20:05:00,6.935,6.97,6.935,6.95,13409,0
2015-11-24,20:10:00,6.955,6.98,6.955,6.98,3118,0
2015-11-24,20:15:00,6.9792,6.9792,6.94,6.95,3621,0
2015-11-24,20:20:00,6.95,6.95,6.935,6.945,2874,0
2015-11-24,20:25:00,6.96,6.96,6.94,6.94,1700,0
2015-11-24,20:35:00,6.95,6.95,6.945,6.945,900,0
2015-11-24,20:40:00,6.945,6.95,6.94,6.945,1756,0
2015-11-24,20:45:00,6.945,6.95,6.94,6.945,1888,0
2015-11-24,20:50:00,6.943,6.96,6.941,6.96,2768,0
2015-11-24,20:55:00,6.96,6.97,6.955,6.97,1500,0
2015-11-24,21:00:00,6.98,6.99,6.98,6.99,800,0
2015-11-24,21:05:00,6.99,7,6.985,7,1500,0
2015-11-24,21:10:00,6.99,7,6.98,6.986,5000,0
2015-11-24,21:15:00,6.99,6.99,6.985,6.985,2400,0
2015-11-24,21:20:00,6.98,6.98,6.97,6.98,2600,0
2015-11-24,21:25:00,6.975,6.98,6.97,6.975,800,0
2015-11-24,21:30:00,6.97,6.9735,6.96,6.9735,4549,0
2015-11-24,21:35:00,6.97,6.98,6.97,6.97,800,0
2015-11-24,21:40:00,6.975,6.975,6.96,6.96,2338,0
2015-11-24,21:45:00,6.95,6.9635,6.95,6.9635,4400,0
2015-11-24,21:50:00,6.96,6.965,6.96,6.96,700,0
2015-11-24,21:55:00,6.97,6.98,6.965,6.98,5661,0
2015-11-24,22:00:00,6.975,6.98,6.97,6.98,24534,0
2015-11-25,15:35:00,6.97,7.21,6.97,7.21,1497,0
2015-11-25,15:40:00,6.99,7.09,6.98,7.09,1700,0
2015-11-25,15:45:00,7.08,7.08,7.05,7.06,446,0
2015-11-25,15:50:00,7.05,7.1,7.05,7.1,1982,0
2015-11-25,16:00:00,7.11,7.11,7.08,7.08,300,0
2015-11-25,16:05:00,7.08,7.08,7.07,7.07,600,0
2015-11-25,16:10:00,7.06,7.06,7.04,7.05,2975,0
2015-11-25,16:15:00,7.06,7.08,7.06,7.08,2500,0
2015-11-25,16:20:00,7.05,7.07,7.05,7.07,800,0
2015-11-25,16:30:00,7.0504,7.06,7.0504,7.06,2100,0
2015-11-25,16:35:00,7.06,7.07,7.06,7.0646,1566,0
2015-11-25,16:40:00,7.07,7.09,7.07,7.09,2515,0
2015-11-25,16:45:00,7.09,7.09,7.088,7.088,1200,0
2015-11-25,16:50:00,7.07,7.08,7.07,7.08,2100,0
2015-11-25,16:55:00,7.08,7.08,7.08,7.08,500,0
2015-11-25,17:00:00,7.09,7.09,7.09,7.09,300,0
2015-11-25,17:05:00,7.07,7.0725,7.07,7.0725,300,0
2015-11-25,17:10:00,7.06,7.07,7.06,7.06,4100,0
2015-11-25,17:15:00,7.08,7.08,7.07,7.07,400,0
2015-11-25,17:20:00,7.07,7.07,7.07,7.07,200,0
